,Date,Open,High,Low,Close,SMA50,SMA100,SMA200,Vol,daily_change,3m_change,6m_change,1y_change,3m_target,6m_target,1y_target,all_target,above_sma50,above_sma100,above_sma200,pos_volatility,vol_class,pos_out,neg_out,pos_out_aboveSMA50,pos_out_aboveSMA100,pos_out_aboveSMA200,neg_out_aboveSMA50,neg_out_aboveSMA100,neg_out_aboveSMA200
250,2017-01-04,809.8900146484401,813.42999267578,804.1099853515599,807.77001953125,796.8309973144528,800.0010998535156,771.7738510131836,1515300,0.6498999999999999,5.5,13.8,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
251,2017-01-05,807.5,813.73999023438,805.9199829101599,813.02001953125,796.3765979003902,800.0608001708983,772.038701171875,1340500,1.4992999999999999,4.3999999999999995,14.7,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
252,2017-01-06,814.98999023438,828.9600219726599,811.5,825.2100219726599,796.309798583984,800.2533001708983,772.3769512939454,2017100,0.23869999999999997,2.4,13.0,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
253,2017-01-09,826.3699951171901,830.42999267578,821.6199951171901,827.17999267578,796.4113989257806,800.513200073242,772.7386511230469,1408900,-0.1414,1.7999999999999998,15.0,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
254,2017-01-10,827.07000732422,829.40997314453,823.1400146484401,826.01000976562,796.5845996093745,800.7191003417968,773.1023010253906,1197400,0.4661,1.9,15.1,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
255,2017-01-11,826.6199951171901,829.9000244140599,821.46997070312,829.8599853515599,796.7905993652339,800.9902001953124,773.4221508789062,1325400,-0.0398,1.2,14.6,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
256,2017-01-12,828.3800048828099,830.3800048828099,821.01000976562,829.53002929688,797.1831994628903,801.2890002441404,773.7281008911133,1349500,0.16999999999999998,1.4000000000000001,14.899999999999999,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
257,2017-01-13,831.0,834.6500244140599,829.52001953125,830.9400024414099,797.6923999023435,801.6289001464843,774.06830078125,1290200,-0.4188,1.0999999999999999,16.5,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
258,2017-01-17,830.0,830.17999267578,823.20001220703,827.4600219726599,798.4732006835934,801.9376000976561,774.3572509765625,1440900,0.1885,3.3000000000000003,17.9,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
259,2017-01-18,829.79998779297,829.8099975585901,824.0800170898401,829.02001953125,799.4098010253904,802.2918005371092,774.6767510986328,1027700,-0.5609000000000001,3.0,17.7,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
260,2017-01-19,829.0,833.0,823.9600219726599,824.3699951171901,800.2752014160153,802.6225006103513,775.0057510375975,1070500,0.461,3.9,19.7,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
261,2017-01-20,829.09002685547,829.23999023438,824.5999755859401,828.1699829101599,800.7980004882806,802.9720007324217,775.3062509155272,1306200,1.9633999999999998,3.9,19.900000000000002,0.0,1,1,0,0,1,1,1,0,3,1,0,1,1,1,0,0,0
262,2017-01-23,831.6099853515599,845.5399780273401,828.70001220703,844.42999267578,801.4470007324213,803.4581005859374,775.7278009033203,2457400,0.604,4.1000000000000005,18.2,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
263,2017-01-24,846.97998046875,851.52001953125,842.28002929688,849.53002929688,802.3258007812495,804.0342010498046,776.178101196289,1688400,1.05,3.5000000000000004,17.5,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
264,2017-01-25,853.54998779297,858.7899780273401,849.73999023438,858.45001220703,803.8890014648433,804.7202014160155,776.6826513671875,1655400,-0.1712,3.5000000000000004,16.3,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
265,2017-01-26,859.04998779297,861.0,850.52001953125,856.97998046875,805.5936010742183,805.3760009765624,777.1459512329103,3493300,-1.3944,3.8,13.100000000000001,0.0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
266,2017-01-27,859.0,867.0,841.9000244140599,845.03002929688,807.4298022460935,805.8576013183592,777.511551513672,3752500,-2.5088,5.5,14.2,0.0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1
267,2017-01-30,837.0599975585901,837.22998046875,821.03002929688,823.8300170898401,808.403203125,806.0157012939452,777.7537515258789,3516900,-0.4418,13.200000000000001,14.799999999999999,0.0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
268,2017-01-31,819.5,823.07000732422,813.4000244140599,820.1900024414099,809.2074035644531,806.1377014160154,777.954701538086,2020200,-0.6035,13.700000000000001,15.299999999999999,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
269,2017-02-01,824.0,824.0,812.25,815.23999023438,809.7890039062502,806.2617010498044,778.0925015258789,2251000,0.3704,14.899999999999999,16.0,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
270,2017-02-02,815.0,824.5599975585901,812.04998779297,818.26000976562,810.6348046875003,806.5595013427733,778.3025515747071,1689200,0.2285,15.9,15.7,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
271,2017-02-03,823.1300048828099,826.1300048828099,819.3499755859401,820.1300048828099,811.3414050292969,806.7726013183592,778.5286016845703,1528100,0.1817,16.400000000000002,15.5,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
272,2017-02-06,820.9199829101599,822.3900146484401,814.2899780273401,821.6199951171901,812.0738049316407,807.1016015624998,778.7367016601564,1350900,0.9261999999999999,16.7,15.1,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
273,2017-02-07,825.5,831.9199829101599,823.2899780273401,829.22998046875,813.0784045410156,807.4893011474607,779.194001464844,1666600,0.0784,15.6,14.099999999999998,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
274,2017-02-08,830.53002929688,834.25,825.1099853515599,829.8800048828099,814.0714050292969,807.7758013916014,779.6323513793947,1302200,0.0217,15.299999999999999,14.000000000000002,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
275,2017-02-09,831.72998046875,831.97998046875,826.5,830.0599975585901,814.9568054199219,808.0967016601561,780.1558013916016,1194200,0.5771000000000001,15.0,13.700000000000001,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
276,2017-02-10,832.95001220703,837.1500244140599,830.51000976562,834.8499755859401,815.8650048828125,808.491301269531,780.7227511596681,1415100,0.4923,14.499999999999998,12.6,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
277,2017-02-13,837.70001220703,841.73999023438,836.25,838.9600219726599,817.1266052246094,808.8831011962889,781.3922512817383,1295700,0.1275,14.299999999999999,11.899999999999999,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
278,2017-02-14,839.77001953125,842.0,835.8300170898401,840.03002929688,818.6406054687501,809.2331011962889,782.0530014038086,1363300,-0.3226,14.2,11.799999999999999,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
279,2017-02-15,838.8099975585901,841.77001953125,836.21997070312,837.32000732422,820.0978051757814,809.4468011474607,782.6675515747072,1357200,0.5792,15.2,12.1,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
280,2017-02-16,838.5,842.6900024414099,837.26000976562,842.1699829101599,821.3768054199222,809.7189007568358,783.336201477051,1005100,0.5201,11.899999999999999,11.4,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
281,2017-02-17,841.3099975585901,846.9400024414099,839.78002929688,846.54998779297,822.784205322266,810.1579003906248,784.0121014404299,1461200,0.32130000000000003,12.3,11.5,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
282,2017-02-21,847.98999023438,852.20001220703,846.54998779297,849.27001953125,823.9402062988285,810.5433007812499,784.6849014282228,1260300,0.2461,13.5,8.4,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
283,2017-02-22,848.0,853.7899780273401,846.7100219726599,851.3599853515599,825.0640063476566,810.9563006591796,785.3158013916019,1224400,-0.0423,14.000000000000002,8.200000000000001,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
284,2017-02-23,851.0800170898401,852.6199951171901,842.5,851.0,825.8950061035159,811.4399005126953,785.9251513671876,1386700,-0.3749,14.899999999999999,10.5,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
285,2017-02-24,847.6500244140599,848.3599853515599,842.9600219726599,847.8099975585901,826.6932055664068,811.8774005126953,786.4673013305666,1346200,0.2194,17.0,11.200000000000001,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
286,2017-02-27,844.95001220703,850.6699829101599,843.01000976562,849.6699829101599,827.3798046875006,812.3703002929688,787.0629013061525,1010300,-0.5579,17.2,9.2,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
287,2017-02-28,847.3499755859401,848.8300170898401,841.4400024414099,844.92999267578,827.9206042480472,812.7917004394533,787.6472012329103,1383100,1.3989,17.9,9.8,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
288,2017-03-01,851.3800048828099,858.0,849.02001953125,856.75,828.7426037597659,813.3469006347658,788.3068011474611,1818700,-0.8054,16.3,8.3,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
289,2017-03-02,856.3099975585901,856.48999023438,848.71997070312,849.8499755859401,829.5428027343753,813.8146002197267,788.904551086426,1250900,-0.0906,16.1,10.100000000000001,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
290,2017-03-03,848.9400024414099,850.82000732422,844.7100219726599,849.0800170898401,830.2744030761721,814.2983001708985,789.5490011596681,1005000,-0.21320000000000003,16.400000000000002,11.1,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
291,2017-03-06,846.8599853515599,848.9400024414099,841.1699829101599,847.27001953125,830.9158032226566,814.6293005371095,790.1764511108399,1047900,0.4579,18.5,11.1,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
292,2017-03-07,847.26000976562,853.3300170898401,845.52001953125,851.1500244140599,831.6948034667971,815.0451007080079,790.8556512451173,1038700,0.2925,17.9,10.6,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
293,2017-03-08,853.1199951171901,856.92999267578,851.25,853.6400146484401,832.5740039062503,815.4638006591798,791.5153012084962,1028800,0.492,16.8,10.299999999999999,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
294,2017-03-09,853.6900024414099,860.7100219726599,852.6699829101599,857.84002685547,833.5748046875003,816.0014007568361,792.2182513427736,1347700,0.4162,16.7,9.8,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
295,2017-03-10,862.70001220703,864.22998046875,857.6099853515599,861.40997314453,834.6044042968753,816.5695007324221,792.8601510620118,1336600,0.368,16.6,9.4,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
296,2017-03-13,860.8300170898401,867.1300048828099,860.82000732422,864.5800170898401,835.8046044921878,817.1469006347658,793.4925512695314,1166600,0.15380000000000002,11.200000000000001,9.1,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
297,2017-03-14,863.75,867.5800170898401,860.1300048828099,865.90997314453,837.0652038574221,817.5911004638672,794.1374511718751,1061700,0.2864,11.1,8.9,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
298,2017-03-15,867.9400024414099,869.8800048828099,861.29998779297,868.3900146484401,838.5840039062502,818.006600341797,794.7414013671877,1332900,0.1854,11.799999999999999,8.6,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
299,2017-03-16,870.53002929688,872.7100219726599,867.52001953125,870.0,839.8238037109381,818.4903002929689,795.347151489258,1104500,0.2724,11.3,8.799999999999999,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
300,2017-03-17,873.67999267578,874.4199829101599,868.3699951171901,872.3699951171901,841.1158032226568,818.9734002685549,795.9667013549805,1868300,-0.5113000000000001,10.100000000000001,8.9,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
301,2017-03-20,869.47998046875,870.34002685547,864.6699829101599,867.90997314453,842.2136022949225,819.2951000976564,796.5849011230471,1542200,-2.0474,12.4,7.1,0.0,1,1,0,0,1,1,1,0,3,0,1,0,0,0,1,1,1
302,2017-03-21,870.0599975585901,873.46997070312,847.6900024414099,850.1400146484401,842.7122021484378,819.5110003662111,797.1563012695314,2538000,-0.04,14.7,9.4,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
303,2017-03-22,849.47998046875,855.3499755859401,847.0,849.79998779297,843.1646020507816,819.7880004882812,797.7550012207031,1366700,-1.1944,14.000000000000002,9.4,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
304,2017-03-23,841.3900146484401,841.6900024414099,833.0,839.6500244140599,843.4374023437506,820.0110009765626,798.2978012084961,3287700,-0.5371,16.5,11.600000000000001,0.0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
305,2017-03-24,842.0,844.0,829.0999755859401,835.1400146484401,843.5430029296881,820.1668011474611,798.7588513183596,2105700,0.4035,16.900000000000002,13.5,0.0,1,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0
306,2017-03-27,828.09002685547,841.3800048828099,824.29998779297,838.51000976562,843.7226025390628,820.4529010009767,799.2388012695312,1934600,0.25279999999999997,15.9,11.4,0.0,1,1,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0
307,2017-03-28,839.6900024414099,845.4000244140599,832.27001953125,840.6300048828099,843.9164025878907,820.8044012451173,799.7760012817383,1519200,1.0992,15.6,11.1,0.0,1,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0
308,2017-03-29,842.75,851.59002685547,841.3800048828099,849.8699951171901,844.3646020507814,821.4189013671877,800.3659512329101,1457300,-0.045899999999999996,11.600000000000001,9.9,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
309,2017-03-30,851.97998046875,852.0,846.77001953125,849.47998046875,844.7738012695315,822.0918011474611,800.9471011352539,949400,-0.1978,13.100000000000001,10.4,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
310,2017-03-31,846.8300170898401,849.5599975585901,845.23999023438,847.79998779297,845.242401123047,822.7588012695314,801.5251510620119,1441000,1.0557,10.6,13.200000000000001,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
311,2017-04-03,848.75,859.0,847.53002929688,856.75,845.8140014648438,823.3060009765625,802.1876510620118,1969400,-0.48789999999999994,7.3,12.9,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
312,2017-04-04,848.0,853.0,847.51000976562,852.57000732422,845.9768017578128,823.7119012451171,802.9292510986329,1348500,-0.4293,7.8,13.5,0.0,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0
313,2017-04-05,854.7100219726599,860.59002685547,847.52001953125,848.90997314453,845.9644006347659,824.1451007080078,803.6431509399415,1855200,-0.4488,9.8,14.000000000000002,0.0,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0
314,2017-04-06,849.5,853.59002685547,844.0,845.0999755859401,845.697399902344,824.7932006835938,804.3242507934572,1533600,-0.35500000000000004,10.299999999999999,15.0,0.0,1,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0
315,2017-04-07,845.0,845.8800048828099,837.29998779297,842.0999755859401,845.3997998046877,825.4967004394531,804.9824008178713,1111600,-0.0475,10.2,14.799999999999999,0.0,1,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0
316,2017-04-10,841.5399780273401,846.73999023438,840.7899780273401,841.70001220703,845.3331994628908,826.3815008544922,805.6165509033204,1046200,-0.21619999999999998,13.0,17.9,0.0,1,1,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0
317,2017-04-11,841.70001220703,844.6300048828099,834.5999755859401,839.8800048828099,845.6541992187503,827.0287011718751,806.3899508666993,974300,0.18810000000000002,13.200000000000001,18.099999999999998,0.0,1,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0
