AAPL
CDNS
INVH
GRUB
HEI
SJM
WRK
W
FNV
TFX
VIAB
MLM
MAA
NRG
CBOE
ALLY
CPB
HOLX
HII
CGC
KSU
ARNC
EXR
AKAM
IEX
YNDX
LW
BIP
JEC
REG
TSCO
DXCM
UDR
COG
ATO
FFIV
FNF
GPS
LYV
ALB
BF.A
STLD
WLK
MAS
RL
ATH
JWN
PVH
BURL
LNT
TRMB
ARMK
DRE
M
LDOS
PKI
TAP
ZION
SNA
JAZZ
KORS
AFG
TMK
MTN
JNPR
VAR
WAB
NBIX
BG
AES
PRGO
PE
WRB
UGI
Y
IRM
QRTEA
ANGI
QRTEB
XEC
NLSN
OTEX
LKQ
SPR
SJR
RE
QRVO
PNW
RGA
LEA
ULTI
AVY
DBX
PAGS
SEIC
FRT
STE
NI
BHC
NKTR
IVZ
SNAP
DOX
COTY
MOH
IPG
NWL
EWBC
PKG
SUI
CPT
WST
AGNC
UNM
BIO
GG
UAA
NVR
EXAS
SRPT
BWA
TDY
FDS
AOS
WPX
LII
TYL
ELS
ZBRA
EGN
DATA
CGNX
RHI
ALLE
H
VOYA
FLR
ALNY
AER
SLG
HLF
BRO
WU
WEX
FWONK
ZAYO
ICL
QGEN
FLIR
NWS
CACC
ZG
Z
SCI
ICLR
VICI
XRAY
HP
LB
PAYC
AEM
UA
NWSA
RPM
PF
WES
ST
NDSN
MGP
ALK
KAR
WPM
EHC
GWRE
JEF
HDS
AZPN
BPY
CDK
LAMR
OGE
BKI
GLPI
ENBL
MAC
BLUE
IPGP
PNR
INGR
WGP
KRC
DCI
TWLO
CG
ON
ARCC
ALV
DLB
GGG
TECH
FBHS
NNN
MKTX
HOG
BAH
SC
AA
AMG
NTNX
VER
FLS
AIV
CBSH
EPAM
HUBB
MSG
WPC
LOGI
WHR
ROKU
TGE
CFR
UHAL
WWE
MIDD
PHM
AIZ
FIVE
SABR
WTR
BFAM
ALKS
ZEN
XRX
KIM
ENLK
OHI
PRAH
ADT
CONE
CCK
ORI
ERIE
TRIP
ATR
ALSN
PSXP
RIG
TPL
OKTA
RNG
DOCU
UBNT
OAK
FLEX
CZR
PBCT
CSL
WSO
SBNY
USFD
AXTA
CTLT
EQM
DEI
AM
EQGP
TER
MEOH
POST
LPT
BOKF
FICO
CC
HBI
DCP
DCT
PK
AMH
COLM
MASI
TSG
ARW
AR
IONS
CRL
DNKN
CDEV
POOL
NRZ
RS
JLL
GIL
WBC
WAL
IDTI
NATI
BWXT
USG
EV
SERV
SEE
SAGE
VVC
PACW
PII
BERY
TTC
PBF
HRC
EEFT
MUR
LECO
STOR
FAF
KNX
OC
CIT
TRN
AMRX
WBS
HUN
LIVN
STWD
SCG
CR
HXL
OLLI
ACC
BPL
FL
NFX
CW
G
LPLA
HAE
RNR
EVHC
FHN
SIX
LOPE
LAZ
HTA
PSTG
TTD
HQY
FCNCA
HRB
CPN
ICUI
BHF
OLED
UTHR
JBLU
RP
GDI
HEI.A
GLIBA
ESLT
GNTX
STZ.B
BEP
PODD
SON
SNV
MPW
BPOP
GWR
KMPR
DNB
BF.B
WH
BC
HUBS
GTES
LEG
BB
CDAY
CUBE
CLB
PRI
COMM
EXEL
ACM
CAE
IART
VNOM
X
NYCB
PFPT
EEP
MDU
HPP
HHC
GT
LOXO
THG
CHE
EAF
EPR
MAN
ATHN
IDA
AYI
ETSY
BRKR
CABO
STL
KEX
NFG
CARG
GMED
VET
MAT
ASH
LGND
PB
WSM
FISK
OSK
CY
ITT
FSLR
MPWR
ESRT
SYNH
WTFC
OZK
MORN
NUAN
SHLX
JHG
RGLD
BRX
ESBA
HIW
OGCP
TXRH
PWR
NEWR
TDOC
AXS
PLNT
CCJ
WWD
ARES
GRA
NSP
NVT
MSM
PVTL
AVT
VAC
CNK
AQN
FIZZ
SLM
PNFP
MTG
TOL
WIX
SRCL
AGO
AGCO
RRC
IBKC
LSTR
PEN
UMPQ
PEGA
HPT
CRI
LFUS
ASB
CACI
CASY
AL
INXN
SINA
JBGS
FGEN
CHK
NVCR
I
GPT
NEU
OGS
ESGR
CHH
CNDT
INGN
WTW
LSI
URBN
ARRS
SNX
BTU
PPC
SMG
OMF
ZS
LOGM
SATS
SHOO
GDOT
RDN
RHP
MDSO
TDC
ILG
VNE
EME
PRSP
SNDR
SKX
NYT
COTV
OAS
TFSL
POR
THO
UNVR
JBL
FNB
NJR
MKSI
MD
WLL
WEN
CIEN
VIRT
CFX
TCBI
ESV
ESNT
RYN
HWC
BMS
TREX
GPK
TCF
LANC
USM
NUS
FLO
SBRA
FFIN
SWX
MMS
SNH
TRQ
OLN
TWOU
KOS
ARD
FR
ALE
EXP
NGVT
PTEN
KL
ENDP
MBFI
APLE
BXMT
CLH
HE
PAGP
MTDR
TARO
WYND
MSA
STMP
COUP
PAG
CHDN
EVR
ENTG
AEO
VVV
AGIO
TNET
SPB
CHFC
NYLD
IMMU
HOMB
MLNX
AMED
RBA
CBT
TTEK
SR
VLY
PRLB
ROLL
APU
CLGX
ACXM
BLKB
ZNGA
GBCI
MIC
UBSI
CMPR
VSAT
JCOM
YELP
BGCP
AAN
COLD
RLJ
CUZ
LILA
NAV
R
CMD
WRI
BKU
ASGN
PCTY
SIGI
LHO
BSM
AAXN
CLF
ENS
SF
SLAB
SM
EQC
TWO
COR
TKR
LILAK
NXST
ENR
VSM
UMBF
RES
LITE
ISBC
CREE
ERI
BYD
IGT
TDS
FHB
ATI
STAY
HR
RBC
NUVA
AN
PGRE
RARE
MANU
CBRL
CNO
MDB
SHO
GNRC
COHR
CPA
DK
CWK
APY
KMT
AMGP
NAVI
PSB
JBT
CATY
WWW
CPG
BJ
PS
BOH
ANAT
MMSI
AWI
KGC
UNIT
ACHC
AMCX
RLI
FCFS
TCO
MTZ
PDCE
SYNT
EGP
CVI
SFM
HEP
SRC
DKS
B
SWN
AVA
NEOG
SMTC
PAH
LPX
TRCO
BCPC
EDR
GATX
NOMD
VG
LAUR
CIM
BCO
SAM
DECK
BKH
HELE
MANH
SXT
AEL
FEYE
TSE
SODA
EBS
MFA
ORIG
HI
TEN
BXS
SAIC
SSD
MDR
EYE
KLXI
UNF
SIG
RXN
PNM
POL
NCR
PFGC
KS
ICPT
CBU
TENB
AYX
DAR
CVBF
LHCG
CHGG
NHI
ADNT
JAG
HZNP
ENLC
CNX
FUN
GHC
NWE
SJI
ONB
MYGN
GEL
ACIW
UFS
KBR
DOC
VRNT
WHD
CSOD
VMI
HCSG
FULT
GSKY
BPMC
SUN
ERF
SSB
GEO
OI
THC
DNR
SLGN
MDGL
SAVE
SBGI
AVNS
ELLI
OFC
AB
AIT
QLYS
HGV
CPE
REXR
NS
FOCS
WTM
NTB
GEF
WMGI
HLI
FFBC
EPAY
IBOC
CVLT
CLNY
CXW
ARRY
DO
KW
TEX
BE
BBU
RRR
COLB
AFSI
JW.A
STN
WFT
MOG.A
STRA
LGF.B
STAG
FSV
ORBK
ATGE
BOX
NGHC
ALTR
QEP
MCY
FIBK
FMBI
TREE
AVX
JJSF
CEQP
CRS
VLP
TPX
LEXEB
VIAV
FND
SKYW
SITE
TECD
GLNG
WCC
FCN
BDN
VSH
HAIN
SFNC
ARLP
ENV
CLNC
CVRR
KFY
IRWD
MIK
OUT
SRG
ORA
CXP
OII
USNA
WAFD
CLDR
AIMC
EXPO
PENN
BDC
WBT
KWR
WTS
ACAD
RMR
RDC
HMSY
CIGI
DSW
MRCY
RPAI
PSEC
ESL
IDCC
IRBT
XHR
OMCL
SDRL
DLX
LBRT
THS
GOOS
LM
TRTN
MUSA
WOR
UBSH
CBPO
AKCA
SEAS
HALO
SMAR
TGNA
PAY
VC
OSB
CAR
EPC
QDEL
DAN
ARI
NEP
CYBR
AHL
AMN
AMC
IIVI
SFIX
DY
LPNT
CCMP
GWB
MGY
BL
PLAY
PRA
WRD
FUL
MED
LEXEA
SUPN
ROG
SAIL
PINC
FII
MC
ITGR
MMYT
WERN
RLGY
UE
AJRD
FOXF
FOLD
SEM
P
APAM
EE
RH
AERI
JELD
PDM
CAKE
MDRX
AIN
PSMT
CCOI
DSGX
PCH
DORM
MDP
SWCH
HRTX
RGEN
WSBC
DM
CMC
AVAV
CSFL
TSRO
PEB
MANT
AUY
NBR
TERP
ADSW
DRH
ALRM
PPBI
INDB
TRMK
WRE
XLRN
GHDX
DDR
JACK
APPF
SAFM
ITRI
AKR
SHAK
FIVN
NNI
PQG
CCO
BECN
MGEE
MNRO
MAIN
BRKS
IRDM
FRME
AWR
SGMS
PAAS
TELL
BID
WDFC
NOVT
PDCO
AVYA
TCP
GTT
CRUS
EXLS
CVG
EVH
TOWN
CMP
AXE
QTWO
MLHR
FCB
GTLS
MTX
MNK
ELY
CALM
UCBI
TRNO
CBS.A
BRC
QTS
ABCB
PLT
AVLR
BOFI
XON
ABM
HSC
CRC
ARGO
FELE
CADE
DLPH
GKOS
HOPE
SBH
PLCE
CISN
GNW
ZUO
UFPI
CBM
ANAB
TSEM
CVA
ROIC
ENSG
LTXB
GBX
IBTX
RGNX
FLOW
MYOK
NAVG
CNMD
COT
SFLY
SKT
TMHC
CWT
PFBI
MDCO
GVA
SCS
GRPN
WING
CVCO
EURN
FNSR
NWN
SFBS
MEDP
AY
DDD
FIX
FI
BANF
CENT
HTLF
BPMP
FBP
OIS
PBH
TNDM
AQUA
